xpos,ypos,xvel,yvel
-1.0582,-5.9129,32.359,46.475
0.081794,2.0638,53.722,38.37
-0.7538,4.2068,0.23167,-4.6146
-2.7017,4.8113,-12.489,-9.6866
-12.045,3.0018,-68.763,52.791
-25.189,12.628,-74.518,130.51
-39.352,49.168,-137.41,339.18
-56.666,87.893,-108.67,386.96
-45.752,89.048,26.257,91.715
-41.222,66.674,-13.167,-66.294
-20.093,15.9,-38.013,16.713
-18.832,8.4598,-2.7217,-16.157
-9.7476,3.3687,63.347,-38.152
3.0723,3.8895,92.313,12.108
8.2675,11.952,29.389,76.511
2.832,16.848,-35.449,17.041
3.6926,12.844,42.641,-34.574
-1.2321,2.4657,7.8893,-62.718
-11.955,-7.993,-74.041,-59.189
-11.369,-5.7142,10.27,51.878
-12.084,-0.45017,7.7703,25.614
-9.698,-0.005288,27.19,-34.485
-8.3865,3.1917,26.403,6.66
-9.165,7.8801,22.13,64.183
-5.481,-3.4992,38.69,-60.535
-4.0857,-13.825,8.734,-76.786
-4.8051,-14.697,-15.227,30.774
-5.5216,-13.076,-8.3852,16.502
-39.083,-14.047,-290.95,-29.02
-91.107,-9.1966,-488.7,-14.581
-110.79,-9.6794,-185.98,-27.786
-103.53,-16.447,3.3483,-53.182
-17.755,-4.291,29.851,-12.277
-12.395,-1.5717,-25.735,-29.308
-17.355,-3.1119,-45.142,-23.443
-20.219,-2.3758,0.86917,15.174
-17.008,-0.11785,48.872,-10.164
-11.567,-4.8742,23.869,-30.713
-5.5283,-7.6697,-1.7136,3.6342
3.6591,-4.0654,58.385,21.29
7.8488,-4.802,44.135,0.41643
